ID,LABEL
BERVO:0000346,Total structural plant element LitrFall
BERVO:0000347,Total plant nitrogen fixation
BERVO:0000348,Cumulative total plant respiration
BERVO:0000349,Pft level plant respiration
BERVO:0000350,Plant element balance
BERVO:0000351,Plant element litterfall
BERVO:0000352,Plant litterfall element
BERVO:0000353,Total net primary productivity
BERVO:0000354,Total transpiration <0 into atmosphere
BERVO:0000355,Total autotrophic respiration
BERVO:0000356,Plant element harvest
BERVO:0000357,Total plant harvest
BERVO:0000358,Plant carbon dioxide emission from fire
BERVO:0000359,Plant methane emission from fire
BERVO:0000360,Plant oxygen uptake from fire
BERVO:0000361,Plant ammonia emission from fire
BERVO:0000362,Plant nitrous oxide emission from fire
BERVO:0000363,Plant phosphate emission from fire
BERVO:0000364,Root oxygen demand from respiration
BERVO:0000365,Gaseous tracer flux through roots
BERVO:0000366,Dissolution (+ve) - volatilization (-ve) gas flux in roots
BERVO:0000367,Aqueous carbon dioxide flux from roots to root water
BERVO:0000368,Aqueous oxygen flux from roots to root water
BERVO:0000369,Root respiration unconstrained by oxygen gas
BERVO:0000370,Root respiration constrained by oxygen gas
BERVO:0000371,Total root uptake (+ve) - exudation (-ve) of dissovled element
BERVO:0000372,Total root uptake of ammonium
BERVO:0000373,Total root uptake of nitrate
BERVO:0000374,Total root uptake of phosphate
BERVO:0000375,Total root uptake of hydrogen phosphate
BERVO:0000376,Total root nitrogen fixation
BERVO:0000377,Gas flux from root disturbance (<0 into atmosphere)
BERVO:0000378,Root uptake of ammonium non-band unconstrained by oxygen gas
BERVO:0000379,Root uptake of ammonium non-band unconstrained by root nonstructural C
BERVO:0000380,Root carbon dioxide efflux unconstrained by root nonstructural C
BERVO:0000381,Root uptake of ammonium non-band unconstrained by ammonium
BERVO:0000382,Root uptake of ammonium band unconstrained by ammonium
BERVO:0000383,Root uptake of nitrate band unconstrained by nitrate
BERVO:0000384,Root uptake of nitrate non-band unconstrained by nitrate
BERVO:0000385,Gaseous NH3 flux fron root disturbance band
BERVO:0000386,Oxygen constraint to root respiration
BERVO:0000387,Net root element uptake (+ve) - exudation (-ve)
BERVO:0000388,Total net root element uptake (+ve) - exudation (-ve)
BERVO:0000389,Pft cumulative nitrogen uptake
BERVO:0000390,Pft cumulative phosphorus uptake
BERVO:0000391,Total root water uptake
BERVO:0000392,Current step vertical root water uptake profile
BERVO:0000393,Previous step vertical root water uptake profile
BERVO:0000394,Vertically profile of root heat uptake
BERVO:0000395,Total root heat relase
BERVO:0000396,Total internal root gas flux
BERVO:0000397,Total root internal gas flux
BERVO:0000398,Total root-soil solute flux
BERVO:0000401,Total root element exchange
BERVO:0000402,Total root carbon dioxide flux into roots
BERVO:0000404,Total root internal oxygen flux taken away from root oxygen gas
BERVO:0000405,Root oxygen consumption for autotrophic respiration
BERVO:0000406,Integrated root oxygen consumption for autotrophic respiration
BERVO:0000407,Total root internal oxygen flux take away from root oxygen gas
BERVO:0000408,Total root length density
BERVO:0000409,Total root + microbial oxygen uptake
BERVO:0000411,Total root + microbial ammonium uptake non-band
BERVO:0000413,Total root + microbial nitrate uptake non-band
BERVO:0000415,Total root + microbial nitrogen dioxide uptake non-band
